epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.344,1.93785,2.42358,2.51499,1.31212,0.75314,0.60147,0.63853,0.36877,0.81748,0.57946,0.65607,0.27461,1.44638,1.55437,1.31219,1.08437,0.00331927,0.00331927,0.00331927
2,204.924,1.58877,1.56932,1.21227,1.09221,0.75761,0.61902,0.63198,0.32653,0.76923,0.64383,0.65554,0.28935,1.56219,1.42336,1.51516,1.14122,0.00661967,0.00661967,0.00661967
3,316.431,1.61315,1.54717,1.19316,1.10909,0.71962,0.62592,0.60564,0.32002,0.71286,0.61858,0.61555,0.27468,1.49233,1.36826,1.19644,1.12823,0.00988707,0.00988707,0.00988707
4,430.111,1.65043,1.48957,1.18054,1.12365,0.65043,0.56724,0.55985,0.27363,0.66565,0.59902,0.60347,0.25758,1.6125,1.44162,1.50063,1.24481,0.0098515,0.0098515,0.0098515
5,544.378,1.5577,1.40408,1.0932,1.10601,0.76734,0.60478,0.6302,0.32658,0.81387,0.64145,0.66411,0.23771,1.50357,1.8112,1.29035,1.1328,0.009802,0.009802,0.009802
6,659.978,1.53776,1.34801,1.0308,1.09888,0.82,0.64548,0.68109,0.39451,0.8238,0.6577,0.68556,0.31734,1.39732,1.20665,1.02096,1.10885,0.0097525,0.0097525,0.0097525
7,774.289,1.50947,1.32893,1.00725,1.08676,0.84912,0.67237,0.70418,0.41747,0.85113,0.67971,0.71465,0.37416,1.3044,1.06487,0.9531,1.07185,0.009703,0.009703,0.009703
8,884.563,1.4596,1.31306,0.96622,1.07213,0.84866,0.67482,0.71031,0.41502,0.83757,0.66819,0.70448,0.33224,1.3645,1.26073,1.07286,1.1077,0.0096535,0.0096535,0.0096535
9,995.755,1.41057,1.25519,0.93377,1.06232,0.85229,0.67719,0.71221,0.43904,0.86153,0.68453,0.72339,0.36267,1.26955,1.16417,0.93739,1.08798,0.009604,0.009604,0.009604
10,1103.13,1.37495,1.21105,0.89529,1.05051,0.88412,0.64548,0.72703,0.4544,0.88747,0.64792,0.71707,0.37508,1.20689,1.05511,0.88181,1.04135,0.0095545,0.0095545,0.0095545
11,1205.65,1.35521,1.23246,0.88147,1.04638,0.87216,0.68387,0.72633,0.46181,0.88354,0.68704,0.72834,0.37922,1.21173,1.00319,0.89944,1.05572,0.009505,0.009505,0.009505
12,1305.55,1.34817,1.21475,0.86645,1.0376,0.7997,0.65403,0.67767,0.41176,0.83235,0.65549,0.70539,0.32591,1.25638,1.08666,0.90968,1.08538,0.0094555,0.0094555,0.0094555
13,1407.81,1.32258,1.1663,0.84779,1.03523,0.91446,0.6846,0.72779,0.44775,0.91119,0.68215,0.72407,0.37105,1.24335,1.07927,0.8176,1.0616,0.009406,0.009406,0.009406
14,1507.44,1.30336,1.16599,0.83853,1.02472,0.88158,0.68215,0.73695,0.47602,0.89382,0.69193,0.73169,0.3873,1.16342,0.96986,0.8126,1.0365,0.0093565,0.0093565,0.0093565
15,1607.63,1.30082,1.13786,0.82038,1.02815,0.91617,0.6846,0.74158,0.4848,0.92251,0.68949,0.74785,0.37575,1.15211,1.04697,0.75443,1.03834,0.009307,0.009307,0.009307
16,1707.13,1.30334,1.12766,0.82303,1.02906,0.90256,0.71149,0.74359,0.48136,0.89946,0.70905,0.74654,0.38313,1.15675,0.98705,0.83986,1.04761,0.0092575,0.0092575,0.0092575
17,1804.87,1.27895,1.13403,0.80317,1.01885,0.92683,0.68132,0.76267,0.50702,0.92683,0.68132,0.75702,0.39566,1.13265,0.95688,0.74118,1.02975,0.009208,0.009208,0.009208
18,1903.45,1.27638,1.11066,0.79389,1.02034,0.91264,0.68968,0.74857,0.47983,0.91586,0.67971,0.74027,0.38144,1.1296,1.01552,0.79527,1.04185,0.0091585,0.0091585,0.0091585
19,2010.63,1.26072,1.13776,0.78336,1.01026,0.89203,0.69438,0.7598,0.50095,0.9025,0.70159,0.7533,0.39325,1.10088,0.97467,0.71511,1.01558,0.009109,0.009109,0.009109
20,2109.76,1.24563,1.09461,0.77452,1.00815,0.92256,0.69903,0.75177,0.4917,0.93224,0.70636,0.7604,0.40237,1.10216,0.95015,0.74888,1.03568,0.0090595,0.0090595,0.0090595
